mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.031617164611816406,0.013214127382137642,0.007380819320678711,0.001955250004538474,0.1,0.1,0.001,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.001}",0.7947358998581859,0.786243240065192,0.7804909350224929,0.7933836541009929,0.7896238288520394,0.7888955115797807,0.005146949696212834,12
0.008481264114379883,0.003894811404553121,0.013366222381591797,0.016382632873882762,0.1,0.1,0.01,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01}",0.8716577727515014,0.864511186878653,0.8628396696635389,0.8733608560905399,0.869304934133253,0.8683348839034972,0.0040511979129687035,8
0.035008573532104494,0.03171960088365246,0.017755794525146484,0.016503153864734724,0.1,0.1,0.1,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1}",0.9487463766639749,0.9428939905304173,0.9412921630946983,0.9478992823329213,0.9527679612746985,0.946719954779342,0.004151493868644444,4
0.06282567977905273,0.01262643838313093,0.04528574943542481,0.01774637841804473,0.1,0.1,1,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 1}",0.5299403680375525,0.5220153880009804,0.5511965724199319,0.5359916830913842,0.5249453952872378,0.5328178813674174,0.010342139867212392,16
0.013962507247924805,0.0033380767207022355,0.011970138549804688,0.005464545025660289,0.1,0.2,0.001,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.001}",0.2857778904844671,0.24844062801759426,0.28767106069436,0.2926879860434646,0.28505718238094446,0.2799269495241661,0.015967194820406597,28
0.01575326919555664,0.0074237232163385635,0.004189968109130859,0.0011627451619015685,0.1,0.2,0.01,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.01}",0.3870236559369171,0.3491319171274655,0.3618355525701342,0.37847259222651075,0.3594364123919628,0.36718002605059813,0.013678836813716464,27
0.014872884750366211,0.014440078771712257,0.010172224044799805,0.0030548044345433357,0.1,0.2,0.1,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.1}",0.4696250097671776,0.409538622013804,0.4237981469560722,0.4631332191341193,0.45390905487056565,0.4440008105483478,0.023309277141348866,17
0.024133014678955077,0.01172100299945535,0.008975791931152343,0.0043259826334298345,0.1,0.2,1,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 1}",0.05464381422487863,0.03763563297367467,0.04456414253195917,0.04593309341763385,0.02064106591281112,0.04068354981219149,0.01138856135168731,29
0.002792692184448242,0.00039904164236579,0.002794504165649414,0.0026352752507075097,0.1,0.5,0.001,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 0.001}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.003788137435913086,0.0017150033217987815,0.002195310592651367,0.00039866231187213287,0.1,0.5,0.01,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 0.01}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.003989553451538086,0.0017821993944652198,0.004387712478637696,0.0028621991227393215,0.1,0.5,0.1,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 0.1}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.002792692184448242,0.0009797348407072641,0.0025944232940673826,0.0007976773133867325,0.1,0.5,1,"{'C': 0.1, 'epsilon': 0.5, 'gamma': 1}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.0029923439025878905,9.221591761500223e-07,0.0029963016510009765,0.0017917164728311129,0.1,0.3,0.001,"{'C': 0.1, 'epsilon': 0.3, 'gamma': 0.001}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.004390525817871094,0.001959228335743373,0.003587150573730469,0.002857750255052393,0.1,0.3,0.01,"{'C': 0.1, 'epsilon': 0.3, 'gamma': 0.01}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.004782676696777344,0.0030466453674377,0.0033910274505615234,0.0018494541314349768,0.1,0.3,0.1,"{'C': 0.1, 'epsilon': 0.3, 'gamma': 0.1}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.0027980804443359375,0.0007481119890878713,0.0022705078125,0.0009753576661095765,0.1,0.3,1,"{'C': 0.1, 'epsilon': 0.3, 'gamma': 1}",-0.036990024633244856,-0.10549474486995392,-0.06951000034934451,-0.046333612944840175,-0.07706435384309618,-0.06707854732809593,0.02415410536388699,33
0.009375333786010742,0.006265073676961402,0.004788589477539062,0.0036473232008183572,1,0.1,0.001,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.001}",0.8410181460773396,0.831046533197173,0.8345817863426593,0.8370173947399806,0.8357468630892223,0.8358821446892749,0.003248374189630962,11
0.01071310043334961,0.002579859051063576,0.00637664794921875,0.0024869414196852808,1,0.1,0.01,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01}",0.8848068285659958,0.8708125074166492,0.8756999324667486,0.8845559141091446,0.8804822737905527,0.8792714912698182,0.005372923192299018,5
